Algorithm,Cache Size,Trace,k,Hit Rate (%),Runtime (s),Avg Latency (us),P50 Latency (us),P90 Latency (us),P99 Latency (us),Memory (MB)
LRU,30,periodic.csv,16,18.693,0.03122649600004479,0.24173767036018035,0.23300003704207484,0.2920000952144619,0.6860000212327577,0
RL-Hybrid,30,periodic.csv,16,18.848000000000003,1.4748155260001568,14.640460169798644,17.749000107869506,18.34600016081822,21.073019970572194,0
LRU,30,adversarial.csv,16,0.0,0.03169882400015922,0.2492312901972582,0.23100005819287617,0.2790000053209951,0.5809999947814504,0
RL-Hybrid,30,adversarial.csv,16,84.153,0.3022630590000972,2.9492254299861997,0.2350000158912735,17.162999938591383,17.86501001788565,0
