Variant,Hit Rate (%),Runtime (s),Avg Latency (us),P50 Latency (us),P90 Latency (us),P99 Latency (us),Parameters,Architecture
Base (64-64-1),35.114000000000004,1.1987451469999542,11.886727200521818,17.655999727139715,18.68499975898885,20.571009822560878,4481,"[64, 64]"
MLP 32-32-1,36.512,1.0656291979998969,10.562318349980158,14.783000096940668,19.009999959962443,22.849000288260868,1217,"[32, 32]"
MLP 16-16-1,36.125,0.884495589999915,8.758960390432549,13.201999990997138,13.89499993820209,15.343010086326098,353,"[16, 16]"
MLP 8-8-1,18.121000000000002,1.124095646999649,11.149506830051905,13.313000181369716,14.07409986313724,16.04302995929173,113,"[8, 8]"
MLP 128-128-1,31.968999999999998,1.8125431140001638,18.03013348974673,25.835000087681692,26.90900009838515,29.678019918719645,17153,"[128, 128]"
MLP 64-32-1,34.821999999999996,1.0699290570000812,10.610498480791648,15.680999695177888,16.5709998782404,18.563070138952718,2369,"[64, 32]"
