Algorithm,Cache Size,Hit Rate (%),Runtime (s),Avg Latency (us),P50 Latency (us),P90 Latency (us),P99 Latency (us),Memory (MB)
LRU,10,27.307,0.04569580010138452,0.36260709865018725,0.30011869966983795,0.500120222568512,0.8998904377222061,0
LFU,10,42.96,0.10851030005142093,0.9774286090396345,1.0998919606208801,1.600012183189392,2.400018274784088,0
ARC,10,40.513,0.07242019986733794,0.6264038756489754,0.700121745467186,1.00000761449337,1.400010660290718,0
RL-Hybrid,10,43.152,1.3130650999955833,12.989552048966289,19.19991336762905,24.300068616867065,35.29991954565048,0
